param Vnom  := 12.66;      #kV
param Vbase := 12.66;      #kV
param Sbase := 10000;      #kVA

set PER := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23;      # Condições operacionais:
set Scen:= 1 2 ;

set Y:= 1 2 3 4 5;

#---- Barras candidatas 

set CB:= 8 12 18 32 50 60 62 64 ;
set PV:= 24 28 50 66;
/* set PV:= 16 23 32 44 61 66 67 69; */
set GD:= 18 61;
set BB:= 18 28 50 61 66;
/* set CB:= 64 ;
set PV:= 24 66;
set GD:= 6 61;
 */

#---- Dados VEs

param dEVaux := 
0 	0.36447840	
1 	0.35735744	
2 	0.32070192	
3 	0.28633088	
4 	0.25408240	
5 	0.23070784	
6 	0.22211728	
7 	0.21539584	
8 	0.30996268	
9 	0.37897012	
10	0.40844704	
11	0.42050492	
12	0.42960500	
13	0.43783584	
14	0.44586792	
15	0.45433064	
16	0.46107748	
17	0.46650877	
18	0.43413196	
19	0.42332600	
20	0.41912024	
21	0.42672460	
22	0.42362928	
23	0.36513136;

param locEV :
	   1	 2	   3	 4	   5 :=
1      0     0     0     0     0
2      0     0     0     0     0
3      0     0     0     0     0
4      0     0     0     0     0
5      0     0     0     0     0
6      0     0     0     0     0
7      0     1     1     1     2
8      1     1     2     2     3
9      0     0     1     1     1
10     0     0     1     1     1
11     1     2     3     4     6
12     1     2     3     4     6
13     0     0     0     0     0
14     0     0     0     0     0
15     0     0     0     0     0
16     0     1     1     1     2
17     1     1     1     2     2
18     1     1     1     2     2
19     0     0     0     0     0
20     0     0     0     0     0
21     1     2     2     3     5
22     0     0     0     0     0
23     0     0     0     0     0
24     0     0     1     1     1
25     0     0     0     0     0
26     0     0     0     0     1
27     0     0     0     0     1
28     0     0     1     1     1
29     0     0     1     1     1
30     0     0     0     0     0
31     0     0     0     0     0
32     0     0     0     0     0
33     0     0     0     0     1
34     0     0     0     1     1
35     0     0     0     0     0
36     0     0     1     1     1
37     0     0     1     1     1
38     0     0     0     0     0
39     0     0     1     1     1
40     0     0     1     1     1
41     0     0     0     0     0
42     0     0     0     0     0
43     0     0     0     0     0
44     0     0     0     0     0
45     0     1     1     1     2
46     0     1     1     1     2
47     0     0     0     0     0
48     1     1     2     2     3
49     4     6     8    11    15
50     4     6     8    11    15
51     0     1     1     1     2
52     0     0     0     0     0
53     0     0     0     0     0
54     0     0     1     1     1
55     0     0     1     1     1
56     0     0     0     0     0
57     0     0     0     0     0
58     0     0     0     0     0
59     1     1     2     3     4
60     0     0     0     0     0
61    12    18    27    37    50
62     0     0     1     1     1
63     0     0     0     0     0
64     2     3     5     7     9
65     1     1     1     2     2
66     0     0     0     1     1
67     0     0     0     1     1
68     0     0     1     1     1
69     0     0     1     1     1;
 
 
#---- Dados das linhas
param : 	B:      	R       	X 		Imax	State:=
#		from to        (Ω)         (Ω)      (A) 
		1	2		0.0005		0.0012  	500		1
		2	3		0.0005		0.0012  	500		1
		3	4		0.0015		0.0036  	500		1
		4	5		0.0251		0.0294  	500		1
		5	6		0.3660		0.1864  	500		1
		6	7		0.3811		0.1941  	500		1
		7	8		0.0922		0.0470  	500		1
		8	9		0.0493		0.0251  	500		1
		9	10		0.8190		0.2707  	500		1
		10	11		0.1872		0.0619  	500		1
		11	12		0.7114		0.2351  	500		1
		12	13		1.0300		0.3400  	500		1
		13	14		1.0440		0.3450  	500		1
		14	15		1.0580		0.3496  	500		1
		15	16		0.1966		0.0650  	500		1
		16	17		0.3744		0.1238  	500		1
		17	18		0.0047		0.0016  	500		1
		18	19		0.3276		0.1083  	500		1
		19	20		0.2106		0.0696  	500		1
		20	21		0.3416		0.1129  	500		1
		21	22		0.0140		0.0046  	500		1
		22	23		0.1591		0.0526  	500		1
		23	24		0.3463		0.1145  	500		1
		24	25		0.7488		0.2475  	500		1
		25	26		0.3089		0.1021  	500		1
		26	27		0.1732		0.0572  	500		1
		3	28		0.0044		0.0108  	500		1
		28	29		0.0640		0.1565  	500		1
		29	30		0.3978		0.1315  	500		1
		30	31		0.0702		0.0232  	500		1
		31	32		0.3510		0.1160  	500		1
		32	33		0.8390		0.2816  	500		1
		33	34		1.7080		0.5646  	500		1
		34	35		1.4740		0.4873  	500		1
		4	36		0.0034		0.0084  	500		1
		36	37		0.0851		0.2083  	500		1
		37	38		0.2898		0.7091  	500		1
		38	39		0.0822		0.2011  	500		1
		8	40		0.0928		0.0473  	500		1
		40	41		0.3319		0.1114  	500		1
		9	42		0.1740		0.0886  	500		1
		42	43		0.2030		0.1034  	500		1
		43	44		0.2842		0.1447  	500		1
		44	45		0.2813		0.1433  	500		1
		45	46		1.5900		0.5337  	500		1
		46	47		0.7837		0.2630  	500		1
		47	48		0.3042		0.1006  	500		1
		48	49		0.3861		0.1172  	500		1
		49	50		0.5075		0.2585  	500		1
		50	51		0.0974		0.0496  	500		1
		51	52		0.1450		0.0738  	500		1
		52	53		0.7105		0.3619  	500		1
		53	54		1.0410		0.5302  	500		1
		11	55		0.2012		0.0611  	500		1
		55	56		0.0047		0.0014  	500		1
		12	57		0.7394		0.2444  	500		1
		57	58		0.0047		0.0016  	500		1
		3	59		0.0044		0.0108  	500		1
		59	60		0.0640		0.1565  	500		1
		60	61		0.1053		0.1230  	500		1 
		61	62		0.0304		0.0355  	500		1
		62	63		0.0018		0.0021  	500		1
		63	64		0.7283		0.8509  	500		1
		64	65		0.3100		0.3623  	500		1
		65	66		0.0410	 	0.0478  	500		1
		66	67		0.0092		0.0116  	500		1
		67	68		0.1089		0.1373  	500		1
		68	69		0.0009		0.0012  	500		1
		11	66		0.5000	  	0.5000  	500		0
		13	21		0.5000	  	0.5000  	500		0
		15	69		1.0000	  	0.5000  	500		0 
		39	48		2.0000	  	1.0000  	500		0
		27	54		1.0000	  	0.5000  	500		0
;
param SE := 1;
;
param Dt:=1; # Delta de tempo;

param : N:	Tb	SMAX	PD	QD			Tc:= 
#      Bus Type        (kW)   (kVAr)      
		1	1	10000	0.00	0.00       1
		2	0	0		0.00	0.00       1
		3	0	0		0.00	0.00       1
		4	0	0		0.00	0.00       1
		5	0	0		0.00	0.00       1
		6	0	0		2.60	2.20       1
		7	0	0		40.40	30.00      1
		8	0	0		75.00	54.00      1
		9	0	0		30.00	22.00      1
		10	0	0		28.00	19.00      1
		11	0	0		145.00	104.00     1
		12	0	0		145.00	104.00     1
		13	0	0		8.00	5.50       1
		14	0	0		8.00	5.50       1
		15	0	0		0.00	0.00       1
		16	0	0		45.50	30.00      1
		17	0	0		60.00	35.00      1 #35
		18	0	0		60.00	35.00      1
		19	0	0		0.00	0.00       1
		20	0	0		1.00	0.60       1
		21	0	0		114.00	81.00      1
		22	0	0		5.50	3.50       1
		23	0	0		0.00	0.00       1
		24	0	0		28.00	20.00      1
		25	0	0		0.00	0.00       1
		26	0	0		14.00	10.00      1
		27	0	0		14.00	10.00      1
		28	0	0		26.00	18.60      1
		29	0	0		26.00	18.60      1 #18.60
		30	0	0		0.00	0.00       1
		31	0	0		0.00	0.00       1
		32	0	0		0.00	0.00       1
		33	0	0		14.00	10.00      1
		34	0	0		19.50	14.00      1
		35	0	0		6.00	4.00       1
		36	0	0		0.00	0.00       1
		37	0	0		79.00	56.40      1
		38	0	0		384.70	274.50     1
		39	0	0		384.70	274.50     1
		40	0	0		40.50	28.30      1
		41	0	0		3.60	3.70       1
		42	0	0		4.35	3.50       1
		43	0	0		26.40	19.00      1
		44	0	0		24.00	17.20      1
		45	0	0		0.00	0.00       1
		46	0	0		0.00	0.00       1
		47	0	0		0.00	0.00       1
		48	0	0		100.00	72.00      1
		49	0	0		0.00	0.00       1
		50	0	0		1244.00	888.00     1
		51	0	0		32.00	23.00      1
		52	0	0		0.00	0.00       1
		53	0	0		227.00	162.00     1 #162.00
		54	0	0		59.00	42.00      1
		55	0	0		18.00	13.00      1
		56	0	0		18.00	13.00      1
		57	0	0		28.00	20.00      1
		58	0	0		28.00	20.00      1
		59	0	0		26.00	18.55      1
		60	0	0		26.00	18.55      1
		61	0	0		0.00	0.00       1
		62	0	0		24.00	17.00      1
		63	0	0		24.00	17.00      1
		64	0	0		1.20	1.00       1
		65	0	0		0.00	0.00       1
		66	0	0		6.00	4.30       1
		67	0	0		0.00	0.00       1
		68	0	0		39.22	26.30      1
		69	0	0		39.22	26.30      1
;

param: SC  :   CostE      FD       G       Prob:=
#            ($/MWh)    factor(%)  (W/m2)  
#0     1        1000         1          0         1
 0     1     39.0603    0.7172          0    0.5161
 0     2     39.3807    0.7508          0    0.4839
 1     1     35.7920    0.6436          0    0.4946
 1     2     35.5704    0.6756          0    0.5054
 2     1     32.0477    0.6405          0    0.5699
 2     2     31.8509    0.6102          0    0.4301
 3     1     30.1847    0.6216          0    0.4839
 3     2     29.8530    0.5912          0    0.5161
 4     1     29.1570    0.6127          0    0.5269
 4     2     29.1330    0.5810          0    0.4731
 5     1     29.0760    0.5805          0    0.4946
 5     2     29.2134    0.6106          0    0.5054
 6     1     30.8529    0.5965          0    0.5054
 6     2     30.8300    0.6267          0    0.4946
 7     1     31.7961    0.6265     3.4007    0.4194
 7     2     32.0733    0.6573     6.1583    0.5806
 8     1     39.8409    0.6934    79.7472    0.7204
 8     2     39.8919    0.6957   166.5838    0.2796
 9     1     49.1848    0.7404   237.3688    0.6452
 9     2     48.9844    0.7440   375.8199    0.3548
10     1     56.1698    0.7845   514.4403    0.7419
10     2     55.6461    0.7901   317.3915    0.2581
11     1     61.8916    0.8226   499.8283    0.5161
11     2     61.8557    0.8252   704.1819    0.4839
12     1     70.0591    0.8350   443.5695    0.2151
12     2     70.6119    0.8426   746.7011    0.7849
13     1     78.4633    0.8561   771.7238    0.7419
13     2     77.6765    0.8497   470.5044    0.2581
14     1     84.3627    0.8852   427.3525    0.2796
14     2     84.6194    0.8774   730.8263    0.7204
15     1     99.5252    0.8788   610.1022    0.7634
15     2     99.7215    0.8770   320.3366    0.2366
16     1    101.8263    0.8815   451.2369    0.7097
16     2    101.8070    0.8883   247.5174    0.2903
17     1     98.4442    0.8941   275.3579    0.4731
17     2     98.6859    0.8923   164.7494    0.5269
18     1     81.7759    0.8940    42.2131    0.7957
18     2     81.9793    0.9151    98.5539    0.2043
19     1     68.0189    0.9119     0.5972    0.5161
19     2     67.8116    0.8668     0.6035    0.4839
20     1     59.9751    0.8999          0    0.5376
20     2     59.7863    0.8565          0    0.4624
21     1     57.0711    0.9040          0    0.5269
21     2     56.7891    0.8579          0    0.4731
22     1     55.2928    0.8853          0    0.4839
22     2     55.6233    0.8452          0    0.5161
23     1     47.8404    0.8210          0    0.4946
23     2     47.6098    0.7806          0    0.5054
;
param: TipoCarga:    PZ    PI    PP    QZ    QI    QP :=
               1      0     0     1     0     0     1 #
               2    0.1   0.4   0.5     1     0     0 #
               3    0.5   0.5   0.0     1     0     0 #
;
