#------------------------------------------------------------------------------------------------------------------
# Dados do sistema Baran Wu.
#------------------------------------------------------------------------------------------------------------------
param Vnom  := 13.80;		#Nominal line voltage (kV)
param Vbase := 13.80;		#Base line voltage (kV)
param Sbase := 1000;		#3-Phase base power (kVA)=10000 or 100000
param rho := 0;             #Percent Demanand response 

param Dt :=1; # Delta de tempo;
set PER := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23;      # Condições operacionais:
set Scen := 1 2 ;
set Y := 1 2 3 4 5;

#---- Barras candidatas 

/* set CB := 4 7 14 19 25 29 30 31;
set PV := 8 15 25 32;
set GD := 15 32;
set BB := 8 15 25 32; */

# Dados de linhas
param :    B:         R        	 X        Imax      State:=
#      from to       (Ω)       	(Ω)        (A)    
     1  	2 		0.1199	  0.1322 	  350		1   # CC4
	 2  	3 		0.2491	  0.1783	  250  		1   # CC2  
	 2  	4 		0.0600	  0.0661	  350		1   #	 CC4  
	 4  	5 		0.1199	  0.1322	  350		1   #	 CC4  
	 5  	6 		0.1199	  0.1322	  350		1   #	 CC4  
	 6  	7 		0.1199	  0.1322	  350		1   #	 CC4  
	 7  	8 		0.1199	  0.1322	  350		1   #	 CC4  
	 8  	9 		0.0300	  0.0331	  350		1   #	 CC4  
	 9  	10 		0.1499	  0.1653	  350		1   #	 CC4
	 10 	11 		0.1144	  0.0876	  200		1   #	 CC1
	 11 	12 		0.2059	  0.1577	  200		1   #	 CC1
	 12 	13 		0.1716	  0.1314	  200		1   #	 CC1
	 13 	14 		0.1830	  0.1402	  200		1   #	 CC1
	 11 	15 		0.1716	  0.1314	  200		1   #	 CC1
	 15 	16 		0.0572	  0.0438	  200		1   #	 CC1
	 16 	17 		0.1144	  0.0876	  200		1   #		 CC1
	 17 	18 		0.2288	  0.1752	  200		1   #		 CC1
	 18 	19 		0.2288	  0.1752	  200		1   #		 CC1
	 19 	20 		0.2860	  0.2190	  200		1   #	 CC1
	 18 	21 		0.1716	  0.1314	  200		1   #	 CC1
	 10 	22 		0.0899	  0.0992	  350		1   #	 CC4
	 22 	23 		0.1259	  0.1388	  350		1   #	 CC4
